suburb,postcode,state,state_name,lat,lng
Collingwood Park,6330,WA,Western Australia,-35.00413,117.92402
Centennial Park,6330,WA,Western Australia,-35.01142,117.87822
Middleton Beach,6330,WA,Western Australia,-35.02319,117.91229
Mount Elphinstone,6330,WA,Western Australia,-35.02055,117.85434
McKail,6330,WA,Western Australia,-34.98249,117.83461
Little Grove,6330,WA,Western Australia,-35.06802,117.87015
Bayonet Head,6330,WA,Western Australia,-34.97632,117.93416
Lower King,6330,WA,Western Australia,-34.94818,117.94165
Gledhow,6330,WA,Western Australia,-35.00826,117.82804
Collingwood Heights,6330,WA,Western Australia,-34.99516,117.91714
Milpara,6330,WA,Western Australia,-34.98912,117.86385
Lange,6330,WA,Western Australia,-34.98999,117.89718
Robinson,6330,WA,Western Australia,-35.0307,117.82809
Warrenup,6330,WA,Western Australia,-34.97281,117.8665
Big Grove,6330,WA,Western Australia,-35.0826,117.89097
Paraburdoo,6754,WA,Western Australia,-23.19268,117.69153
Tom Price,6751,WA,Western Australia,-22.69602,117.79715
Gnarabup,6285,WA,Western Australia,-33.99568,114.99664
Margaret River,6285,WA,Western Australia,-33.96666,115.0529
Prevelly,6285,WA,Western Australia,-33.97741,114.99425
Cowaramup,6284,WA,Western Australia,-33.85899,115.09283
Beverley,6304,WA,Western Australia,-32.09406,116.89557
Boddington,6390,WA,Western Australia,-32.82484,116.43421
Ranford,6390,WA,Western Australia,-32.7937,116.4916
Boyup Brook,6244,WA,Western Australia,-33.86173,116.42015
Bridgetown,6255,WA,Western Australia,-33.95502,116.1285
Greenbushes,6254,WA,Western Australia,-33.85131,116.04345
Dampier Peninsula,6725,WA,Western Australia,-16.7609,122.74413
Cable Beach,6726,WA,Western Australia,-17.94893,122.2079
Broome,6725,WA,Western Australia,-17.95845,122.23457
Djugun,6725,WA,Western Australia,-17.93749,122.23273
Minyirr,6725,WA,Western Australia,-17.98619,122.2032
Bilingurr,6725,WA,Western Australia,-17.91486,122.22735
Broomehill Village,6318,WA,Western Australia,-33.84953,117.63856
South Bunbury,6230,WA,Western Australia,-33.34964,115.63597
Withers,6230,WA,Western Australia,-33.36677,115.62975
Usher,6230,WA,Western Australia,-33.38065,115.62849
Bunbury,6230,WA,Western Australia,-33.31917,115.64218
Carey Park,6230,WA,Western Australia,-33.35419,115.65388
College Grove,6230,WA,Western Australia,-33.37537,115.65897
East Bunbury,6230,WA,Western Australia,-33.33875,115.65854
Glen Iris,6230,WA,Western Australia,-33.34218,115.68198
Pelican Point,6230,WA,Western Australia,-33.31774,115.68826
Vittoria,6230,WA,Western Australia,-33.31961,115.67279
Picton,6229,WA,Western Australia,-33.34424,115.69764
Davenport,6230,WA,Western Australia,-33.37902,115.68222
Vasse,6280,WA,Western Australia,-33.70202,115.27527
Dunsborough,6281,WA,Western Australia,-33.61007,115.09291
Quindalup,6281,WA,Western Australia,-33.66008,115.11915
Abbey,6280,WA,Western Australia,-33.66352,115.25643
Broadwater,6280,WA,Western Australia,-33.6625,115.28375
West Busselton,6280,WA,Western Australia,-33.65798,115.32267
Busselton,6280,WA,Western Australia,-33.65626,115.34957
Geographe,6280,WA,Western Australia,-33.63878,115.38578
Kealy,6280,WA,Western Australia,-33.66475,115.23057
Yalyalup,6280,WA,Western Australia,-33.67054,115.40738
Bovell,6280,WA,Western Australia,-33.67966,115.35871
Marybrook,6280,WA,Western Australia,-33.66675,115.20463
Dalyellup,6230,WA,Western Australia,-33.4108,115.61584
Gelorup,6230,WA,Western Australia,-33.42256,115.63766
Peppermint Grove Beach,6271,WA,Western Australia,-33.52418,115.50919
Boyanup,6237,WA,Western Australia,-33.48081,115.71159
Babbage Island,6701,WA,Western Australia,-24.88575,113.63654
Carnarvon,6701,WA,Western Australia,-24.8817,113.66957
South Carnarvon,6701,WA,Western Australia,-24.89614,113.65759
Morgantown,6701,WA,Western Australia,-24.87477,113.65843
Brockman,6701,WA,Western Australia,-24.87869,113.6508
